director_name,director_movie_count,director_avg_imdb_score,director_avg_gross
C. Fraser Press,1,6.7,47726636.51668302
C. Jay Cox,2,6.45,425938.0
Cal Brunker,1,5.9,57011847.0
Callie Khouri,2,5.9,45127693.5
Cameron Crowe,6,6.833333333333333,68368305.5
Camille Delamarre,2,5.4,18156692.0
Carl Franklin,3,6.6000000000000005,35219308.0
Carl Rinsch,1,6.3,38297305.0
Carl Theodor Dreyer,1,8.1,47726636.51668302
Carlos Carrera,1,6.8,5709616.0
Carlos Saldanha,4,6.825,166764467.75
Carlos Saura,1,7.2,1687311.0
Carmen Marron,1,3.9,178739.0
Carol Reed,2,7.15,32263318.25834151
Caroline Link,1,7.7,6173485.0
Carroll Ballard,2,7.35,24293319.25834151
Carter Smith,1,5.9,17427926.0
Cary Bell,1,8.7,47726636.51668302
Caryn Waechter,1,6.3,47726636.51668302
Cassandra Nicolaou,1,6.0,47726636.51668302
Catherine Gund,1,6.8,21199.0
Catherine Hardwicke,7,5.985714285714286,67682916.71428572
Catherine Jelski,1,4.2,58163.0
Catherine Owens,1,8.4,10353690.0
Cathy Malkasian,1,5.2,39880476.0
Cecil B. DeMille,1,6.7,36000000.0
Cedric Nicolas-Troyan,1,6.1,47952020.0
Chad Hartigan,1,6.6,47726636.51668302
Chad Kapper,1,3.4,47726636.51668302
Chan-wook Park,3,7.633333333333333,1365078.0
Chao-Bin Su,1,6.9,47726636.51668302
Charles Adelman,1,4.8,47726636.51668302
Charles Binamé,1,7.7,47726636.51668302
Charles Chaplin,1,8.6,163245.0
Charles Ferguson,3,7.866666666666667,1923750.6666666667
Charles Herman-Wurmfeld,3,6.2,32424650.0
Charles Martin Smith,3,6.133333333333333,46309696.333333336
Charles Matthau,1,6.5,47726636.51668302
Charles Robert Carner,1,3.1,4131640.0
Charles S. Dutton,1,5.3,5881504.0
Charles Shyer,1,6.2,13395939.0
Charles Stone III,2,5.6,39099232.0
Charles T. Kanganis,1,4.3,11784000.0
Charlie Kaufman,1,7.5,3081925.0
Charlie Levi,1,6.1,47726636.51668302
Chatrichalerm Yukol,1,6.6,454255.0
Cheryl Dunye,1,4.5,17321573.0
Chia-Liang Liu,1,7.6,11546543.0
Chris Atkins,1,7.4,47726636.51668302
Chris Buck,1,7.6,400736600.0
Chris Butler,1,7.0,55994557.0
Chris Carter,1,5.9,20981633.0
Chris Columbus,11,6.654545454545455,147155238.54545453
Chris D'Arienzo,1,5.9,47726636.51668302
Chris Eyre,1,7.2,6719300.0
Chris Gorak,1,4.9,21426805.0
Chris Kentis,2,5.5,21528056.0
Chris Koch,2,5.25,37708562.5
Chris Marker,1,7.4,47726636.51668302
Chris Miller,2,6.4,234970706.0
Chris Nahon,1,6.6,36833473.0
Chris Noonan,2,6.9,34787824.5
Chris Paine,1,7.7,1677838.0
Chris Roberts,1,4.1,11576087.0
Chris Robinson,1,6.0,21160089.0
Chris Rock,3,5.8,25205343.666666668
Chris Shadley,1,5.5,47726636.51668302
Chris Stokes,2,3.85,43896566.758341506
Chris Wedge,3,6.866666666666667,137367571.33333334
Chris Weitz,5,6.08,94640075.6
Christian Alvart,2,6.5,11787269.5
Christian Carion,1,7.8,1050445.0
Christian Ditter,1,6.1,46813366.0
Christian Duguay,2,5.1,17517536.5
Christian E. Christiansen,1,4.8,37300107.0
Christian Sesma,1,3.9,47726636.51668302
Christian Volckman,1,6.7,63260.0
Christine Jeffs,1,6.9,12055108.0
Christophe Ali,1,5.4,47726636.51668302
Christophe Barratier,1,7.9,3629758.0
Christophe Gans,1,6.6,46982632.0
Christopher Barnard,1,7.2,47726636.51668302
Christopher Cain,2,6.3,22896599.5
Christopher Erskin,1,4.3,31179516.0
Christopher Guest,4,7.175,11141198.0
Christopher Hutson,1,3.1,47726636.51668302
Christopher Landon,1,5.0,32453345.0
Christopher Leitch,1,3.2,7888703.0
Christopher M. Bessette,1,5.4,15059.0
Christopher McQuarrie,3,7.033333333333334,93694124.33333333
Christopher Morris,1,7.3,304137.0
Christopher Nolan,8,8.425,226653447.0
Christopher Scott Cherot,1,6.5,2301777.0
Christopher Smith,2,6.75,23931534.25834151
Christopher Spencer,1,5.6,59696176.0
Chuan Lu,1,7.7,119922.0
Chuck Bowman,1,4.6,47726636.51668302
Chuck Russell,6,5.8999999999999995,72233755.75278051
Chuck Sheetz,1,6.5,36696761.0
Ciarán Foy,1,5.2,27736779.0
Clare Kilner,2,5.9,22846909.0
Clark Baker,1,6.2,47726636.51668302
Clark Gregg,1,6.5,2926565.0
Clark Johnson,2,6.05,76461288.0
Claude Chabrol,2,6.6,206607.5
Claude Miller,1,6.9,206400.0
Claudia Llosa,1,5.3,52961.0
Claudia Sainte-Luce,1,7.0,11278.0
Clay Kaytis,1,6.3,107225164.0
Clint Eastwood,20,7.225,71302386.82583416
Clive Barker,1,7.0,14564027.0
Cody Cameron,1,6.5,119793567.0
Colin Higgins,1,5.8,69700000.0
Colin Minihan,1,6.1,47726636.51668302
Colin Strause,2,4.550000000000001,31584245.5
Colin Trevorrow,2,7.0,328092531.5
Collin Joseph Neal,1,3.7,47726636.51668302
Collin Schiffli,1,6.2,47726636.51668302
Conor McMahon,1,5.7,47726636.51668302
Conor McPherson,1,6.2,128937.0
Corbin Bernsen,1,5.7,47726636.51668302
Corey Grant,1,5.4,47726636.51668302
Corey Yuen,1,4.8,480314.0
Cory Edwards,1,6.5,51053787.0
Costa-Gavras,2,6.75,5415247.5
Courtney Hunt,1,7.2,2508841.0
Courtney Solomon,2,4.7,13396270.0
Craig Bolotin,1,6.0,5871603.0
Craig Brewer,2,7.2,15799061.5
Craig Gillespie,4,6.9,22061759.0
Craig Johnson,1,6.8,5283379.0
Craig Mazin,2,5.25,12942415.0
Craig Moss,2,2.6500000000000004,47726636.51668302
Craig R. Baxley,2,5.550000000000001,14771657.0
Craig Zobel,1,6.4,318622.0
Cristian Mungiu,1,7.9,1185783.0
Curtis Hanson,6,6.616666666666667,50169362.752780505
Cyrus Nowrasteh,1,5.4,6462576.0
Cédric Klapisch,2,7.1,2774068.0
D. Stevens,1,3.9,47726636.51668302
D.J. Caruso,5,6.74,63396341.4
D.W. Griffith,1,8.0,47726636.51668302
DJ Pooh,2,4.3,9959215.5
Dagur Kári,1,6.9,19959.0
Daisy von Scherler Mayer,2,4.6,5530576.0
Damian Nieman,1,6.4,10696.0
Damien Chazelle,1,8.5,13092000.0
Damien Dante Wayans,1,3.5,25615792.0
Damien O'Donnell,1,6.9,4170647.0
Damir Catic,1,5.4,47726636.51668302
Damon Santostefano,1,6.1,10544143.0
Dan Curtis,1,7.4,47726636.51668302
Dan Cutforth,1,5.9,25240988.0
Dan Fogelman,1,7.1,5348317.0
Dan Gilroy,1,7.9,32279955.0
Dan Harris,1,7.3,228524.0
Dan Ireland,1,5.0,47726636.51668302
Dan Mazer,1,6.0,35537564.0
Dan O'Bannon,1,7.3,47726636.51668302
Dan Perri,1,6.7,47726636.51668302
Dan Reed,1,5.6,47726636.51668302
Dan Rush,1,6.4,2711210.0
Dan Scanlon,1,7.3,268488329.0
Dan Trachtenberg,1,7.3,71897215.0
Dan Zukovic,1,6.9,22434.0
Daniel Algrant,1,5.5,121972.0
Daniel Barber,1,7.2,1818681.0
Daniel Barnz,2,6.0,16581724.5
Daniel Columbie,1,4.3,47726636.51668302
Daniel Davila,1,7.4,47726636.51668302
Daniel Espinosa,3,6.633333333333333,42514886.666666664
Daniel Hsia,1,6.3,10443.0
Daniel Lee,2,6.15,23899524.75834151
Daniel Mellitz,1,4.7,47726636.51668302
Daniel Myrick,1,6.4,140530114.0
Daniel Petrie Jr.,1,4.8,47726636.51668302
Daniel Sackheim,1,5.8,17951431.0
Daniel Schechter,1,6.3,47726636.51668302
Daniel Stamm,1,5.6,40990055.0
Daniel Taplitz,1,5.5,11827301.0
Daniele Luchetti,1,5.7,47726636.51668302
Danny Boyle,8,7.4375,35592222.0
Danny Cannon,2,5.699999999999999,22134792.5
Danny DeVito,3,6.266666666666667,14094771.666666666
Danny Leiner,2,6.3,32477269.5
Danny Pang,2,5.550000000000001,31503158.25834151
Danny Perez,1,6.3,47726636.51668302
Danny Provenzano,1,5.4,47726636.51668302
Danny Steinmann,1,4.7,21300000.0
Dany Boon,1,7.1,47726636.51668302
Darin Scott,1,4.8,47726636.51668302
Dario Argento,1,6.1,349618.0
Darnell Martin,1,7.0,8134217.0
Darrell Roodt,1,6.0,47726636.51668302
Darren Aronofsky,6,7.483333333333333,41885826.833333336
Darren Grant,1,5.6,50382128.0
Darren Lynn Bousman,5,6.56,55662515.10333661
Darren Stein,2,5.5,1538720.5
Daryl Wein,1,6.2,76382.0
Daston Kalili,1,5.8,47726636.51668302
Dave Borthwick,1,2.8,7382993.0
Dave Carroll,1,7.9,47726636.51668302
Dave Green,2,6.05,60277788.5
Dave McKean,1,6.9,864959.0
Dave Meyers,1,4.3,6026908.0
Dave Payne,1,4.9,47726636.51668302
Dave Rodriguez,1,6.3,47726636.51668302
David Anspaugh,1,6.2,375474.0
David Atkins,1,5.8,2025238.0
David Ayer,6,6.95,54671459.333333336
David Bowers,4,6.5,46425301.0
David Boyd,1,6.0,2859955.0
David Caffrey,1,6.1,47726636.51668302
David Carson,1,6.6,75668868.0
David Cronenberg,7,7.114285714285714,22035175.004766576
David Cross,1,5.8,47726636.51668302
David DeCoteau,2,3.0,47726636.51668302
David Dobkin,4,6.65,36600260.5
David Duchovny,1,7.0,371081.0
